           Date        GOOGL
705  2012-10-18   347.847839
706  2012-10-19   341.236237
707  2012-10-22   339.674683
708  2012-10-23   340.515503
709  2012-10-24   338.988983
710  2012-10-25   339.219208
711  2012-10-26   337.912903
712  2012-10-31   340.490479
713  2012-11-01   344.139130
714  2012-11-02   344.304291
715  2012-11-05   341.821808
716  2012-11-06   341.201202
717  2012-11-07   333.893890
718  2012-11-08   326.471466
719  2012-11-09   331.846832
720  2012-11-12   333.283295
721  2012-11-13   329.854858
722  2012-11-14   326.601593
723  2012-11-15   323.953949
724  2012-11-16   323.913910
725  2012-11-19   334.439453
726  2012-11-20   335.320312
727  2012-11-21   333.268280
728  2012-11-23   334.319305
729  2012-11-26   330.905914
730  2012-11-27   335.690704
731  2012-11-28   342.177185
732  2012-11-29   346.291290
733  2012-11-30   349.534546
734  2012-12-03   347.972961
735  2012-12-04   345.860870
736  2012-12-05   344.254242
737  2012-12-06   345.910919
738  2012-12-07   342.447449
739  2012-12-10   343.053040
740  2012-12-11   348.788788
741  2012-12-12   349.129120
742  2012-12-13   351.701691
743  2012-12-14   351.331329
744  2012-12-17   360.750763
745  2012-12-18   360.895905
746  2012-12-19   360.415405
747  2012-12-20   361.541534
748  2012-12-21   358.173187
749  2012-12-24   355.105103
750  2012-12-26   354.789795
751  2012-12-27   353.498505
752  2012-12-28   350.355347
753  2012-12-31   354.044037
754  2013-01-02   361.987000
755  2013-01-03   362.197205
756  2013-01-04   369.354340
757  2013-01-07   367.742737
758  2013-01-08   367.017029
759  2013-01-09   369.429443
760  2013-01-10   371.111115
761  2013-01-11   370.365356
762  2013-01-14   361.987000
763  2013-01-15   362.827820
764  2013-01-16   357.952942
765  2013-01-17   356.016022
766  2013-01-18   352.607605
767  2013-01-22   351.786774
768  2013-01-23   371.121124
769  2013-01-24   377.482483
770  2013-01-25   377.212219
771  2013-01-28   375.740753
772  2013-01-29   377.217224
773  2013-01-30   377.292297
774  2013-01-31   378.223236
775  2013-02-01   388.188202
776  2013-02-04   379.889893
777  2013-02-05   383.253265
778  2013-02-06   385.470459
779  2013-02-07   387.362366
780  2013-02-08   393.078064
781  2013-02-11   391.601593
782  2013-02-12   390.740753
783  2013-02-13   391.821808
784  2013-02-14   394.304291
785  2013-02-15   396.841827
786  2013-02-19   403.828827
787  2013-02-20   396.626617
788  2013-02-21   398.163177
789  2013-02-22   400.255249
790  2013-02-25   395.780792
791  2013-02-26   395.460449
792  2013-02-27   400.290283
793  2013-02-28   401.001007
794  2013-03-01   403.498505
795  2013-03-04   411.161163
796  2013-03-05   419.719727
797  2013-03-06   416.106110
798  2013-03-07   416.716705
799  2013-03-08   416.176178
800  2013-03-11   417.827820
801  2013-03-12   414.219208
802  2013-03-13   413.068054
803  2013-03-14   411.181183
804  2013-03-15   407.557556
805  2013-03-18   404.299286
806  2013-03-19   406.066071
807  2013-03-20   407.762756
808  2013-03-21   406.036041
809  2013-03-22   405.560547
810  2013-03-25   405.225220
811  2013-03-26   406.616608
812  2013-03-27   401.731720
813  2013-03-28   397.492493
814  2013-04-01   400.996002
815  2013-04-02   406.926941
816  2013-04-03   403.503510
817  2013-04-04   397.932922
818  2013-04-05   391.916931
819  2013-04-08   387.812805
820  2013-04-09   389.214203
821  2013-04-10   395.485474
822  2013-04-11   395.590576
823  2013-04-12   395.420410
824  2013-04-15   391.356354
825  2013-04-16   397.082092
826  2013-04-17   391.671661
827  2013-04-18   383.338348
828  2013-04-19   400.335327
829  2013-04-22   400.455444
830  2013-04-23   404.354340
831  2013-04-24   407.132141
832  2013-04-25   404.954956
833  2013-04-26   401.111115
834  2013-04-29   409.939941
835  2013-04-30   412.697693
836  2013-05-01   410.625641
837  2013-05-02   415.220215
838  2013-05-03   423.283295
839  2013-05-06   431.206207
840  2013-05-07   429.044037
841  2013-05-08   437.252258
842  2013-05-09   436.176178
843  2013-05-10   440.555542
844  2013-05-13   439.204193
845  2013-05-14   443.993988
846  2013-05-15   458.403412
847  2013-05-16   452.387390
848  2013-05-17   455.045044
849  2013-05-20   454.719727
850  2013-05-21   453.938934
851  2013-05-22   445.155151
852  2013-05-23   441.836823
853  2013-05-24   437.097107
854  2013-05-28   441.076080
855  2013-05-29   434.589600
856  2013-05-30   435.815826
857  2013-05-31   436.046051
858  2013-06-03   434.249237
859  2013-06-04   429.979980
860  2013-06-05   430.280273
861  2013-06-06   432.752747
862  2013-06-07   440.305298
863  2013-06-10   445.555542
864  2013-06-11   440.345337
865  2013-06-12   436.426422
866  2013-06-13   438.938934
867  2013-06-14   437.957947
868  2013-06-17   443.568573
869  2013-06-18   450.760773
870  2013-06-19   450.790802
871  2013-06-20   442.812805
872  2013-06-21   440.905914
873  2013-06-24   435.330322
874  2013-06-25   433.533539
875  2013-06-26   437.262268
876  2013-06-27   438.973969
877  2013-06-28   440.625641
878  2013-07-01   444.384369
879  2013-07-02   441.596588
880  2013-07-03   443.658661
881  2013-07-05   447.192200
882  2013-07-08   452.997986
883  2013-07-09   453.073059
884  2013-07-10   453.448456
885  2013-07-11   460.580566
886  2013-07-12   461.961975
887  2013-07-15   462.807800
888  2013-07-16   460.265259
889  2013-07-17   459.734741
890  2013-07-18   455.795807
891  2013-07-19   448.748749
892  2013-07-22   455.805817
893  2013-07-23   452.352356
894  2013-07-24   451.901917
895  2013-07-25   444.294281
896  2013-07-26   443.118103
897  2013-07-29   441.576569
898  2013-07-30   445.905914
899  2013-07-31   444.319305
900  2013-08-01   452.562561
901  2013-08-02   453.738739
902  2013-08-05   452.952942
903  2013-08-06   448.733734
904  2013-08-07   445.770782
905  2013-08-08   446.776764
906  2013-08-09   445.650665
907  2013-08-12   443.198212
908  2013-08-13   441.066071
909  2013-08-14   435.340332
910  2013-08-15   430.260254
911  2013-08-16   428.883881
912  2013-08-19   433.258270
913  2013-08-20   433.143158
914  2013-08-21   435.100098
915  2013-08-22   437.292297
916  2013-08-23   435.540527
917  2013-08-26   433.628632
918  2013-08-27   425.500488
919  2013-08-28   424.699707
920  2013-08-29   428.143158
921  2013-08-30   423.873871
922  2013-09-03   430.620636
923  2013-09-04   436.251251
924  2013-09-05   440.220215
925  2013-09-06   440.230225
926  2013-09-09   444.469482
927  2013-09-10   444.779785
928  2013-09-11   448.543549
929  2013-09-12   446.976990
930  2013-09-13   444.979980
931  2013-09-16   444.324310
932  2013-09-17   443.498505
933  2013-09-18   452.112122
934  2013-09-19   449.644653
935  2013-09-20   452.007019
936  2013-09-23   443.693695
937  2013-09-24   443.863861
938  2013-09-25   439.054047
939  2013-09-26   439.524536
940  2013-09-27   438.633636
941  2013-09-30   438.393402
942  2013-10-01   443.943939
943  2013-10-02   444.439453
944  2013-10-03   438.483490
945  2013-10-04   436.611603
946  2013-10-07   433.303314
947  2013-10-08   427.262268
948  2013-10-09   428.358368
949  2013-10-10   434.554565
950  2013-10-11   436.431427
951  2013-10-14   438.493500
952  2013-10-15   441.446442
953  2013-10-16   449.464478
954  2013-10-17   444.839844
955  2013-10-18   506.211212
956  2013-10-21   502.152161
957  2013-10-22   504.003998
958  2013-10-23   516.221191
959  2013-10-24   513.288269
960  2013-10-25   508.108093
961  2013-10-28   508.007996
