           Date        MSFT
451  2011-10-17   21.806067
452  2011-10-18   22.072788
453  2011-10-19   21.927303
454  2011-10-20   21.854561
455  2011-10-21   21.951548
456  2011-10-24   21.975801
457  2011-10-25   21.668671
458  2011-10-26   21.490862
459  2011-10-27   22.024288
460  2011-10-28   21.806067
461  2011-10-31   21.523191
462  2011-11-01   21.005920
463  2011-11-02   21.022079
464  2011-11-03   21.442368
465  2011-11-04   21.216055
466  2011-11-07   21.660587
467  2011-11-08   21.951548
468  2011-11-09   21.175646
469  2011-11-10   21.240309
470  2011-11-11   21.749496
471  2011-11-14   21.628256
472  2011-11-15   21.774836
473  2011-11-16   21.229240
474  2011-11-17   20.797657
475  2011-11-18   20.602215
476  2011-11-21   20.357920
477  2011-11-22   20.186920
478  2011-11-23   19.926336
479  2011-11-25   19.787903
480  2011-11-28   20.252062
481  2011-11-29   20.227629
482  2011-11-30   20.830223
483  2011-12-01   20.585932
484  2011-12-02   20.537081
485  2011-12-05   20.927942
486  2011-12-06   20.895369
487  2011-12-07   20.846519
488  2011-12-08   20.683647
489  2011-12-09   20.927942
490  2011-12-12   20.773228
491  2011-12-13   20.976807
492  2011-12-14   20.838375
493  2011-12-15   20.813942
494  2011-12-16   21.172241
495  2011-12-19   20.789507
496  2011-12-20   21.196671
497  2011-12-21   20.976807
498  2011-12-22   21.017523
499  2011-12-23   21.196671
500  2011-12-27   21.204819
501  2011-12-28   21.025665
502  2011-12-29   21.188522
503  2011-12-30   21.139664
504  2012-01-03   21.799267
505  2012-01-04   22.312283
506  2012-01-05   22.540291
507  2012-01-06   22.890448
508  2012-01-09   22.589146
509  2012-01-10   22.670584
510  2012-01-11   22.572861
511  2012-01-12   22.800875
512  2012-01-13   23.004452
513  2012-01-17   23.012598
514  2012-01-18   22.988161
515  2012-01-19   22.898594
516  2012-01-20   24.193352
517  2012-01-23   24.209641
518  2012-01-24   23.892059
519  2012-01-25   24.071209
520  2012-01-26   24.022350
521  2012-01-27   23.802483
522  2012-01-30   24.111927
523  2012-01-31   24.046782
524  2012-02-01   24.339937
525  2012-02-02   24.388792
526  2012-02-03   24.624949
527  2012-02-06   24.592371
528  2012-02-07   24.714520
529  2012-02-08   24.966957
530  2012-02-09   25.056528
531  2012-02-10   24.836668
532  2012-02-13   24.901812
533  2012-02-14   24.795258
534  2012-02-15   24.631315
535  2012-02-16   25.647718
536  2012-02-17   25.614937
537  2012-02-21   25.770666
538  2012-02-22   25.631330
539  2012-02-23   25.713289
540  2012-02-24   25.803457
541  2012-02-27   25.696899
542  2012-02-28   26.123129
543  2012-02-29   26.016577
544  2012-03-01   26.467396
545  2012-03-02   26.295265
546  2012-03-05   26.065752
547  2012-03-06   25.869030
548  2012-03-07   26.098547
549  2012-03-08   26.237888
550  2012-03-09   26.221495
551  2012-03-12   26.262482
552  2012-03-13   26.778875
553  2012-03-14   26.860847
554  2012-03-15   26.926414
555  2012-03-16   26.721493
556  2012-03-19   26.393623
557  2012-03-20   26.221495
558  2012-03-21   26.155914
559  2012-03-22   26.229694
560  2012-03-23   26.237888
561  2012-03-26   26.713303
562  2012-03-27   26.655916
563  2012-03-28   26.385427
564  2012-03-29   26.328053
565  2012-03-30   26.442808
566  2012-04-02   26.467396
567  2012-04-03   26.180510
568  2012-04-04   25.582142
569  2012-04-05   25.836245
570  2012-04-09   25.491982
571  2012-04-10   24.975584
572  2012-04-11   24.877224
573  2012-04-12   25.393621
574  2012-04-13   25.254274
575  2012-04-16   25.475586
576  2012-04-17   25.770666
577  2012-04-18   25.524765
578  2012-04-19   25.418211
579  2012-04-20   26.573961
580  2012-04-23   26.328053
581  2012-04-24   26.164114
582  2012-04-25   26.393623
583  2012-04-26   26.319855
584  2012-04-27   26.213293
585  2012-04-30   26.246082
586  2012-05-01   26.237888
587  2012-05-02   26.065752
588  2012-05-03   26.032967
589  2012-05-04   25.393621
590  2012-05-07   25.123117
591  2012-05-08   25.000177
592  2012-05-09   25.213289
593  2012-05-10   25.196903
594  2012-05-11   25.541159
595  2012-05-14   25.147715
596  2012-05-15   24.924950
597  2012-05-16   24.669180
598  2012-05-17   24.520670
599  2012-05-18   24.149399
600  2012-05-21   24.545424
601  2012-05-22   24.553673
602  2012-05-23   24.017391
603  2012-05-24   23.984381
604  2012-05-25   23.976135
605  2012-05-29   24.388660
606  2012-05-30   24.207151
607  2012-05-31   24.083393
608  2012-06-01   23.472858
609  2012-06-04   23.555363
610  2012-06-05   23.522356
611  2012-06-06   24.215401
612  2012-06-07   24.116394
613  2012-06-08   24.462914
614  2012-06-11   23.844124
615  2012-06-12   24.165897
616  2012-06-13   24.033888
617  2012-06-14   24.207151
618  2012-06-15   24.768190
619  2012-06-18   24.619682
620  2012-06-19   25.329224
621  2012-06-20   25.518990
622  2012-06-21   24.867199
623  2012-06-22   25.329224
624  2012-06-25   24.644432
625  2012-06-26   24.768190
626  2012-06-27   24.891951
627  2012-06-28   24.677435
628  2012-06-29   25.238470
629  2012-07-02   25.213718
630  2012-07-03   25.378729
631  2012-07-05   25.329224
632  2012-07-06   24.908445
633  2012-07-09   24.751686
634  2012-07-10   24.537169
635  2012-07-11   24.174150
636  2012-07-12   23.621361
637  2012-07-13   24.248405
638  2012-07-16   24.289661
639  2012-07-17   24.471167
640  2012-07-18   25.122959
641  2012-07-19   25.304480
642  2012-07-20   24.850697
643  2012-07-23   24.157646
644  2012-07-24   24.050394
645  2012-07-25   23.786373
646  2012-07-26   24.058640
647  2012-07-27   24.553673
648  2012-07-30   24.454664
649  2012-07-31   24.314409
650  2012-08-01   24.264906
651  2012-08-02   24.083393
652  2012-08-03   24.545424
653  2012-08-06   24.710434
654  2012-08-07   24.966202
655  2012-08-08   25.023962
656  2012-08-09   25.164219
657  2012-08-10   25.098209
658  2012-08-13   25.073458
659  2012-08-14   25.023630
660  2012-08-15   25.081766
661  2012-08-16   25.563471
662  2012-08-17   25.663128
663  2012-08-20   25.530249
664  2012-08-21   25.580074
665  2012-08-22   25.364143
666  2012-08-23   25.131599
667  2012-08-24   25.380756
668  2012-08-27   25.488726
669  2012-08-28   25.438890
670  2012-08-29   25.455496
671  2012-08-30   25.181429
672  2012-08-31   25.596691
673  2012-09-04   25.239565
674  2012-09-05   25.239565
675  2012-09-06   26.036865
676  2012-09-07   25.704657
677  2012-09-10   25.513638
678  2012-09-11   25.571775
679  2012-09-12   25.563471
680  2012-09-13   25.696348
681  2012-09-14   25.920589
682  2012-09-17   25.920589
683  2012-09-18   25.895678
684  2012-09-19   25.787712
685  2012-09-20   26.119919
686  2012-09-21   25.903986
687  2012-09-24   25.563471
688  2012-09-25   25.239565
689  2012-09-26   25.056854
690  2012-09-27   25.048542
691  2012-09-28   24.716337
692  2012-10-01   24.492100
693  2012-10-02   24.633284
694  2012-10-03   24.799395
695  2012-10-04   24.940580
696  2012-10-05   24.791080
697  2012-10-08   24.732944
698  2012-10-09   24.317686
699  2012-10-10   24.068529
700  2012-10-11   24.043615
701  2012-10-12   24.251242
702  2012-10-15   24.508709
703  2012-10-16   24.492100
704  2012-10-17   24.575144
705  2012-10-18   24.500399
706  2012-10-19   23.786148
707  2012-10-22   23.254618
708  2012-10-23   23.296143
709  2012-10-24   23.171564
710  2012-10-25   23.154959
711  2012-10-26   23.429026
712  2012-10-31   23.703098
713  2012-11-01   24.517010
714  2012-11-02   24.500399
715  2012-11-05   24.608362
716  2012-11-06   24.799395
717  2012-11-07   24.151585
718  2012-11-08   23.927347
719  2012-11-09   23.943953
720  2012-11-12   23.437330
721  2012-11-13   22.683723
722  2012-11-14   22.474390
723  2012-11-15   22.323662
724  2012-11-16   22.206434
725  2012-11-19   22.382271
726  2012-11-20   22.365524
727  2012-11-21   22.566492
728  2012-11-23   23.194500
729  2012-11-26   22.934929
730  2012-11-27   22.675352
731  2012-11-28   22.909807
732  2012-11-29   22.566492
733  2012-11-30   22.290171
734  2012-12-03   22.131065
735  2012-12-04   22.080828
736  2012-12-05   22.332035
737  2012-12-06   22.382271
738  2012-12-07   22.156191
739  2012-12-10   22.558119
740  2012-12-11   22.876308
741  2012-12-12   22.809320
742  2012-12-13   22.700470
743  2012-12-14   22.449265
744  2012-12-17   22.692097
745  2012-12-18   23.077276
746  2012-12-19   22.867931
747  2012-12-20   23.177757
748  2012-12-21   22.985168
749  2012-12-24   22.658598
750  2012-12-26   22.491127
751  2012-12-27   22.574862
752  2012-12-28   22.231552
753  2012-12-31   22.365524
754  2013-01-02   23.127514
755  2013-01-03   22.817688
756  2013-01-04   22.390646
757  2013-01-07   22.348782
758  2013-01-08   22.231552
759  2013-01-09   22.357155
760  2013-01-10   22.156191
761  2013-01-11   22.466015
762  2013-01-14   22.516251
763  2013-01-15   22.784199
764  2013-01-16   22.641857
765  2013-01-17   22.817688
766  2013-01-18   22.817688
767  2013-01-22   22.733957
768  2013-01-23   23.119143
769  2013-01-24   23.135887
770  2013-01-25   23.345224
771  2013-01-28   23.370342
772  2013-01-29   23.454081
773  2013-01-30   23.320101
774  2013-01-31   22.985168
775  2013-02-01   23.387096
776  2013-02-04   22.976786
777  2013-02-05   23.027033
778  2013-02-06   22.893057
779  2013-02-07   22.842813
780  2013-02-08   23.068901
781  2013-02-11   23.328476
782  2013-02-12   23.345224
783  2013-02-13   23.470825
784  2013-02-14   23.479202
785  2013-02-15   23.454081
786  2013-02-19   23.682035
787  2013-02-20   23.530062
788  2013-02-21   23.209242
789  2013-02-22   23.437189
790  2013-02-25   23.107924
791  2013-02-26   23.107924
792  2013-02-27   23.479401
793  2013-02-28   23.470963
794  2013-03-01   23.597603
795  2013-03-04   23.766464
796  2013-03-05   23.935318
797  2013-03-06   23.715807
798  2013-03-07   23.758017
799  2013-03-08   23.639824
800  2013-03-11   23.530062
801  2013-03-12   23.563837
802  2013-03-13   23.572279
803  2013-03-14   23.758017
804  2013-03-15   23.673599
805  2013-03-18   23.724247
806  2013-03-19   23.791790
807  2013-03-20   23.909988
808  2013-03-21   23.732693
809  2013-03-22   23.850889
810  2013-03-25   23.774902
811  2013-03-26   23.774902
812  2013-03-27   23.952208
813  2013-03-28   24.154829
814  2013-04-01   24.154829
815  2013-04-02   24.315239
816  2013-04-03   24.112612
817  2013-04-04   24.146391
818  2013-04-05   24.230816
819  2013-04-08   24.137943
820  2013-04-09   24.999109
821  2013-04-10   25.564783
822  2013-04-11   24.433447
823  2013-04-12   24.306793
824  2013-04-15   24.222372
825  2013-04-16   24.458773
826  2013-04-17   24.340578
827  2013-04-18   24.306793
828  2013-04-19   25.134197
829  2013-04-22   26.029137
830  2013-04-23   25.834953
831  2013-04-24   26.814310
832  2013-04-25   26.966278
833  2013-04-26   26.839642
834  2013-04-29   27.531946
835  2013-04-30   27.945644
836  2013-05-01   27.624817
837  2013-05-02   27.996304
838  2013-05-03   28.274921
839  2013-05-06   28.494431
840  2013-05-07   28.122942
841  2013-05-08   27.852776
842  2013-05-09   27.574162
843  2013-05-10   27.599489
844  2013-05-13   27.886545
845  2013-05-14   28.507189
846  2013-05-15   28.779253
847  2013-05-16   28.974806
848  2013-05-17   29.646463
849  2013-05-20   29.825006
850  2013-05-21   29.629456
851  2013-05-22   29.425415
852  2013-05-23   29.034315
853  2013-05-24   29.136339
854  2013-05-28   29.773989
855  2013-05-29   29.654953
856  2013-05-30   29.782488
857  2013-05-31   29.671965
858  2013-06-03   30.258606
859  2013-06-04   29.748484
860  2013-06-05   29.569941
861  2013-06-06   29.722982
862  2013-06-07   30.326609
863  2013-06-10   30.156574
864  2013-06-11   29.620958
865  2013-06-12   29.756981
866  2013-06-13   29.518927
867  2013-06-14   29.246868
868  2013-06-17   29.756981
869  2013-06-18   29.739981
870  2013-06-19   29.408409
871  2013-06-20   28.473188
872  2013-06-21   28.286131
873  2013-06-24   28.668730
874  2013-06-25   28.626223
875  2013-06-26   29.204353
876  2013-06-27   29.433908
877  2013-06-28   29.365891
878  2013-07-01   29.212858
879  2013-07-02   28.855774
880  2013-07-03   28.915287
881  2013-07-05   29.085329
882  2013-07-08   29.187353
883  2013-07-09   29.204353
884  2013-07-10   29.501925
885  2013-07-11   30.343622
886  2013-07-12   30.326609
887  2013-07-15   30.751715
888  2013-07-16   30.836737
889  2013-07-17   30.386133
890  2013-07-18   30.131067
891  2013-07-19   26.696264
892  2013-07-22   27.214888
893  2013-07-23   27.053345
894  2013-07-24   27.172379
895  2013-07-25   26.687763
896  2013-07-26   26.883308
897  2013-07-29   26.815294
898  2013-07-30   27.078856
899  2013-07-31   27.070356
900  2013-08-01   26.925817
901  2013-08-02   27.112860
902  2013-08-05   26.951324
903  2013-08-06   26.849304
904  2013-08-07   27.257397
905  2013-08-08   27.963062
906  2013-08-09   27.801531
907  2013-08-12   27.946058
908  2013-08-13   27.595020
909  2013-08-14   27.697765
910  2013-08-15   27.218300
911  2013-08-16   27.226860
912  2013-08-19   26.875824
913  2013-08-20   27.072748
914  2013-08-21   27.064188
915  2013-08-22   27.732014
916  2013-08-23   29.752619
917  2013-08-26   29.238909
918  2013-08-27   28.476900
919  2013-08-28   28.271410
920  2013-08-29   28.725193
921  2013-08-30   28.596766
922  2013-09-03   27.295355
923  2013-09-04   26.713144
924  2013-09-05   26.738827
925  2013-09-06   26.670336
926  2013-09-09   27.106993
927  2013-09-10   27.732014
928  2013-09-11   28.031679
929  2013-09-12   27.988873
930  2013-09-13   28.279976
931  2013-09-16   28.083055
932  2013-09-17   28.194353
933  2013-09-18   28.528269
934  2013-09-19   28.802250
935  2013-09-20   28.074484
936  2013-09-23   28.031679
937  2013-09-24   27.783381
938  2013-09-25   27.834753
939  2013-09-26   28.057365
940  2013-09-27   28.485456
941  2013-09-30   28.494020
942  2013-10-01   28.750885
943  2013-10-02   29.041988
944  2013-10-03   28.990610
945  2013-10-04   29.007736
946  2013-10-07   28.511145
947  2013-10-08   28.262854
948  2013-10-09   28.314220
949  2013-10-10   28.904991
950  2013-10-11   29.221788
951  2013-10-14   29.495766
952  2013-10-15   29.530018
953  2013-10-16   29.658438
954  2013-10-17   29.898176
955  2013-10-18   29.932428
956  2013-10-21   29.958101
957  2013-10-22   29.607065
958  2013-10-23   28.904991
959  2013-10-24   28.870741
960  2013-10-25   30.591688
961  2013-10-28   30.454699
962  2013-10-29   30.411890
963  2013-10-30   30.429020
964  2013-10-31   30.317707
965  2013-11-01   30.420452
966  2013-11-04   30.771486
967  2013-11-05   31.370817
968  2013-11-06   32.689346
969  2013-11-07   32.107147
970  2013-11-08   32.346893
971  2013-11-11   32.184200
972  2013-11-12   31.987286
973  2013-11-13   32.672222
974  2013-11-14   32.552364
975  2013-11-15   32.398251
976  2013-11-18   31.850292
977  2013-11-19   31.695007
978  2013-11-20   31.988323
979  2013-11-21   32.264374
980  2013-11-22   32.411034
981  2013-11-25   32.471420
982  2013-11-26   32.221245
983  2013-11-27   32.436913
984  2013-11-29   32.894142
985  2013-12-02   33.170193
986  2013-12-03   33.049419
987  2013-12-04   33.592911
988  2013-12-05   32.781990
989  2013-12-06   33.092552
990  2013-12-09   33.394493
991  2013-12-10   32.876884
992  2013-12-11   32.445545
993  2013-12-12   32.109093
994  2013-12-13   31.651869
995  2013-12-16   31.824413
996  2013-12-17   31.505205
