           Date         AMZN
574  2012-04-13   188.460007
575  2012-04-16   185.500000
576  2012-04-17   188.389999
577  2012-04-18   191.070007
578  2012-04-19   191.100006
579  2012-04-20   189.979996
580  2012-04-23   188.240005
581  2012-04-24   190.330002
582  2012-04-25   194.419998
583  2012-04-26   195.990005
584  2012-04-27   226.850006
585  2012-04-30   231.899994
586  2012-05-01   230.039993
587  2012-05-02   230.250000
588  2012-05-03   229.449997
589  2012-05-04   223.990005
590  2012-05-07   225.160004
591  2012-05-08   223.899994
592  2012-05-09   222.979996
593  2012-05-10   226.690002
594  2012-05-11   227.679993
595  2012-05-14   222.929993
596  2012-05-15   224.389999
597  2012-05-16   224.059998
598  2012-05-17   218.360001
599  2012-05-18   213.850006
600  2012-05-21   218.110001
601  2012-05-22   215.330002
602  2012-05-23   217.279999
603  2012-05-24   215.240005
604  2012-05-25   212.889999
605  2012-05-29   214.750000
606  2012-05-30   209.229996
607  2012-05-31   212.910004
608  2012-06-01   208.220001
609  2012-06-04   214.570007
610  2012-06-05   213.210007
611  2012-06-06   217.639999
612  2012-06-07   218.800003
613  2012-06-08   218.479996
614  2012-06-11   216.500000
615  2012-06-12   216.419998
616  2012-06-13   214.729996
617  2012-06-14   214.449997
618  2012-06-15   218.350006
619  2012-06-18   222.660004
620  2012-06-19   224.029999
621  2012-06-20   223.020004
622  2012-06-21   220.570007
623  2012-06-22   222.160004
624  2012-06-25   220.070007
625  2012-06-26   225.610001
626  2012-06-27   225.619995
627  2012-06-28   221.309998
628  2012-06-29   228.350006
629  2012-07-02   229.320007
630  2012-07-03   229.529999
631  2012-07-05   227.059998
632  2012-07-06   225.050003
633  2012-07-09   225.050003
634  2012-07-10   219.500000
635  2012-07-11   218.369995
636  2012-07-12   215.360001
637  2012-07-13   218.389999
638  2012-07-16   216.009995
639  2012-07-17   216.929993
640  2012-07-18   217.470001
641  2012-07-19   226.169998
642  2012-07-20   228.289993
643  2012-07-23   226.009995
644  2012-07-24   223.039993
645  2012-07-25   217.050003
646  2012-07-26   220.009995
647  2012-07-27   237.320007
648  2012-07-30   236.089996
649  2012-07-31   233.300003
650  2012-08-01   232.089996
651  2012-08-02   230.809998
652  2012-08-03   234.970001
653  2012-08-06   233.990005
654  2012-08-07   236.559998
655  2012-08-08   234.380005
656  2012-08-09   234.059998
657  2012-08-10   232.750000
658  2012-08-13   232.440002
659  2012-08-14   233.190002
660  2012-08-15   237.419998
661  2012-08-16   241.550003
662  2012-08-17   241.169998
663  2012-08-20   240.350006
664  2012-08-21   239.449997
665  2012-08-22   243.100006
666  2012-08-23   241.199997
667  2012-08-24   245.740005
668  2012-08-27   243.919998
669  2012-08-28   246.110001
670  2012-08-29   247.119995
671  2012-08-30   246.220001
672  2012-08-31   248.270004
673  2012-09-04   247.880005
674  2012-09-05   246.220001
675  2012-09-06   251.380005
676  2012-09-07   259.140015
677  2012-09-10   257.089996
678  2012-09-11   255.669998
679  2012-09-12   255.630005
680  2012-09-13   260.239990
681  2012-09-14   261.269989
682  2012-09-17   258.000000
683  2012-09-18   258.750000
684  2012-09-19   261.679993
685  2012-09-20   260.809998
686  2012-09-21   257.470001
687  2012-09-24   254.800003
688  2012-09-25   252.460007
689  2012-09-26   249.669998
690  2012-09-27   256.589996
691  2012-09-28   254.320007
692  2012-10-01   252.009995
693  2012-10-02   250.600006
694  2012-10-03   255.919998
695  2012-10-04   260.470001
696  2012-10-05   258.510010
697  2012-10-08   259.059998
698  2012-10-09   250.960007
699  2012-10-10   244.990005
700  2012-10-11   244.220001
701  2012-10-12   242.360001
702  2012-10-15   244.179993
703  2012-10-16   243.940002
704  2012-10-17   247.490005
705  2012-10-18   244.850006
706  2012-10-19   240.000000
707  2012-10-22   233.779999
708  2012-10-23   234.309998
709  2012-10-24   228.490005
710  2012-10-25   222.919998
